Date,Timestamp,Open,High,Low,Close,Volume
2021-09-10,00:00:00,1.18233,1.1851,1.18092,1.18101,67067.0651339144
2021-09-13,00:00:00,1.18111,1.18169,1.177,1.181,60555.2001129538
2021-09-14,00:00:00,1.18095,1.18458,1.18,1.18017,66751.0000978857
2021-09-15,00:00:00,1.18017,1.18318,1.17991,1.1816,71277.8185667265
2021-09-16,00:00:00,1.18157,1.18204,1.17504,1.17633,66676.4400597513
2021-09-17,00:00:00,1.17679,1.17888,1.17235,1.17239,71670.7775848545
2021-09-20,00:00:00,1.17288,1.17364,1.17001,1.17252,83124.3901013881
2021-09-21,00:00:00,1.17252,1.17486,1.17147,1.1724,71459.4351412505
2021-09-22,00:00:00,1.1724,1.17555,1.16843,1.16866,83732.6967970319
2021-09-23,00:00:00,1.16864,1.175,1.16834,1.17384,79637.7400434762
2021-09-24,00:00:00,1.17383,1.17476,1.17005,1.17181,58186.1100668311
2021-09-27,00:00:00,1.17253,1.17261,1.16846,1.16949,112945.810126878
2021-09-28,00:00:00,1.16944,1.17031,1.16682,1.16827,114537.89999719
2021-09-29,00:00:00,1.16828,1.169,1.15894,1.15968,109209.2901631
2021-09-30,00:00:00,1.15967,1.16096,1.15624,1.15752,101060.330212541
2021-10-01,00:00:00,1.15744,1.16072,1.15628,1.15923,90981.430198878
2021-10-04,00:00:00,1.15954,1.164,1.15876,1.16189,76445.9101438746
2021-10-05,00:00:00,1.16188,1.16218,1.15804,1.15966,71081.1551680341
2021-10-06,00:00:00,1.15963,1.16028,1.15291,1.15542,90993.4451114386
2021-10-07,00:00:00,1.15542,1.1572,1.15474,1.1553,57847.7451568246
2021-10-08,00:00:00,1.1553,1.15861,1.15413,1.15721,70206.5901958793
2021-10-11,00:00:00,1.15674,1.15867,1.15489,1.15513,53374.5200801268
2021-10-12,00:00:00,1.1551,1.15703,1.15242,1.15298,67222.9250851199
2021-10-13,00:00:00,1.15298,1.15972,1.15287,1.15939,76467.4802117944
2021-10-14,00:00:00,1.15907,1.16242,1.15839,1.15953,92693.0802433193
2021-10-15,00:00:00,1.15953,1.16185,1.15881,1.15983,94944.7002431452
2021-10-18,00:00:00,1.15903,1.16223,1.15717,1.16091,71256.2101605013
2021-10-19,00:00:00,1.16092,1.16693,1.16078,1.16312,60987.580150947
2021-10-20,00:00:00,1.16308,1.16586,1.16168,1.16485,63574.4851366878
2021-10-21,00:00:00,1.16482,1.16674,1.16194,1.16215,74175.1901181936
2021-10-22,00:00:00,1.16212,1.16556,1.16198,1.16395,108709.200012811
2021-10-25,00:00:00,1.16382,1.16649,1.15907,1.1608,74247.8300540522
2021-10-26,00:00:00,1.1608,1.16257,1.15848,1.15959,63656.4644540101
2021-10-27,00:00:00,1.15959,1.16259,1.15849,1.16027,80954.8226287961
2021-10-28,00:00:00,1.16027,1.16921,1.15821,1.16785,106111.800142221
2021-10-29,00:00:00,1.1678,1.16899,1.1535,1.15529,100815.635005884
2021-10-31,00:00:00,1.15576,1.15637,1.15562,1.15628,411.439999490976
2021-11-01,00:00:00,1.15625,1.1609,1.1546,1.16034,77403.2750295401
2021-11-02,00:00:00,1.16044,1.16133,1.15751,1.1579,70975.2576025873
2021-11-03,00:00:00,1.15789,1.16162,1.15622,1.16125,99208.8635057956
2021-11-04,00:00:00,1.16126,1.16164,1.15282,1.15539,85554.076191823
2021-11-05,00:00:00,1.15539,1.15731,1.15132,1.15631,92782.7919037603
2021-11-08,00:00:00,1.15566,1.15949,1.15503,1.15844,63665.2050906867
2021-11-09,00:00:00,1.15836,1.16087,1.15698,1.15927,67441.8351168111
2021-11-10,00:00:00,1.15912,1.15952,1.14759,1.14781,102527.610091329
2021-11-11,00:00:00,1.14778,1.14875,1.14428,1.14498,69002.9400769174
2021-11-12,00:00:00,1.14488,1.1462,1.14328,1.14413,71026.6251797006
2021-11-15,00:00:00,1.14473,1.14638,1.13562,1.1367,75323.730721578
2021-11-16,00:00:00,1.13665,1.13856,1.13089,1.13196,90386.5451709405
2021-11-17,00:00:00,1.13188,1.13321,1.12635,1.13189,85789.1801149324
2021-11-18,00:00:00,1.13181,1.1374,1.13137,1.1369,78177.4250558456
2021-11-19,00:00:00,1.1369,1.13725,1.12499,1.12794,118361.700603098
2021-11-22,00:00:00,1.12873,1.12907,1.12306,1.12356,97958.9111538492
2021-11-23,00:00:00,1.12356,1.1275,1.12259,1.12469,93819.8501295969
2021-11-24,00:00:00,1.12465,1.12552,1.11859,1.11962,101888.125019833
